id	label_en	synonym_en	label_ja	synonym_ja	OMIM	Orphanet
MONDO:0000346	"Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type"	Balkan hemorrhagic fever	"腎症候群を伴うハンタウイルス出血熱, ドブラバーベルグレドウイルス型"			
MONDO:0000351	disorder of methionine catabolism	hypermethioninemia|rare inborn error of methionine catabolic process|inborn methionine catabolic process disorder|inborn error of methionine catabolic process	高メチオニン血症			
MONDO:0000355	Ullrich congenital muscular dystrophy		ウルリッヒ型先天性筋ジストロフィー	Ullrich型先天性筋ジストロフィー|ウルリッヒ病	OMIMPS:254090	Orphanet:75840
MONDO:0000358	orofacial cleft		口腔顔面裂		OMIMPS:119530	
MONDO:0000359	spondylocostal dysostosis	SCD|SCDO|Jarcho-Levin syndrome|costovertebral dysplasia|Spondylocostal Dysplasia|spondylocostal dysostosis|spondylocostal dysplasia	脊椎肋骨異骨症	脊椎肋骨形成不全	OMIMPS:277300	
MONDO:0000363	gummatous syphilis		ゴム腫梅毒			
MONDO:0000365	primary congenital glaucoma	primary congenital glaucoma (disease)|primary congenital glaucoma	原発性先天性緑内障			
MONDO:0000367	taeniasis	"infection by taenia saginata|infections, Taenia|unarmed tapeworm infection|Taenia saginata infectious disease|beef tapeworm infection|infection by Taeniarhynchus saginatus|Taenia infection|taenia saginata infection"	条虫症			
MONDO:0000368	extrapulmonary tuberculosis		肺外結核			
MONDO:0000369	abdominal tuberculosis		腹部結核 			
MONDO:0000371	oral cavity carcinoma in situ	stage 0 oral cavity cancer|carcinoma in situ of the mouth|carcinoma in situ of mouth|stage 0 oral cavity cancer aJCC v6 and v7|stage 0 oral cavity cancer aJCC v6|stage 0 oral cavity carcinoma|stage 0 carcinoma of the oral cavity|stage 0 carcinoma of mouth|stage 0 carcinoma of oral cavity|carcinoma in situ of the oral cavity|stage 0 oral cavity cancer aJCC v7|mouth carcinoma in situ|oral cavity in situ carcinoma|stage 0 carcinoma of the mouth|carcinoma in situ of oral cavity|stage 0 mouth carcinoma	口腔上皮内癌	口腔上皮内がん		
MONDO:0000372	pharynx carcinoma in situ	stage 0 pharyngeal cancer|pharyngeal cancer stage 0|stage 0 pharynx carcinoma|pharynx carcinoma in situ|stage 0 carcinoma of the pharynx|stage 0 pharyngeal carcinoma|carcinoma in situ of pharynx|pharyngeal carcinoma in situ|carcinoma in situ of the pharynx|pharynx in situ carcinoma|stage 0 carcinoma of pharynx|stage 0 pharyngeal throat cancer	咽頭上皮内癌	咽頭上皮内がん		
MONDO:0000373	gall bladder carcinoma in situ	stage 0 gall bladder carcinoma|carcinoma in situ of gall bladder|gall bladder in situ carcinoma	胆嚢上皮内癌	胆嚢上皮内がん|胆のう上皮内癌		
MONDO:0000374	bile duct carcinoma in situ	carcinoma in situ of bile duct|bile duct in situ carcinoma|stage 0 bile duct carcinoma	胆管上皮内癌	胆管上皮内がん		
MONDO:0000375	bronchus carcinoma in situ	bronchus in situ carcinoma|carcinoma in situ of bronchus|stage 0 bronchus carcinoma	気管支上皮内癌	気管支上皮内がん		
MONDO:0000376	respiratory system cancer	cancer of respiratory system|malignant neoplasm of respiratory system|respiratory system cancer|malignant respiratory system neoplasm	呼吸器系の腫瘍	呼吸器系のがん		
MONDO:0000377	malignant Leydig cell tumor	"malignant interstitial cell tumor|malignant interstitial cell tumour|malignant neoplasm of Leydig cell|Leydig cell tumor, malignant|malignant interstitial cell neoplasm|Leydig cell cancer|cancer of Leydig cell|malignant Leydig cell neoplasm"	悪性ライディッヒ細胞腫	悪性Leydig細胞腫		
MONDO:0000378	malignant Sertoli cell tumor	"malignant Androblastoma|Sertoli cell tumor, malignant"	悪性セルトリ細胞腫			
MONDO:0000379	malignant Sertoli-Leydig cell tumor	"Sertoli-Leydig cell tumor, malignant"	悪性セルトリ・ライディッヒ細胞腫	悪性Sertoli-Leydig細胞腫		
